"","Var1","Var2","value"
"1","Barbabro","Barbabro",0.5
"2","Gardo-Ferdi","Barbabro",0.5
"3","Grego-Seba","Barbabro",0.632985481507945
"4","Metti-Basea","Barbabro",0.906709196276687
"5","Mo-Mattia","Barbabro",0.794001413569098
"6","Tommy-Piase","Barbabro",0.632985481507945
"7","Vizza-Jack","Barbabro",0.35525193765612
"8","Barbabro","Gardo-Ferdi",0.5
"9","Gardo-Ferdi","Gardo-Ferdi",0.5
"10","Grego-Seba","Gardo-Ferdi",0.632985481507945
"11","Metti-Basea","Gardo-Ferdi",0.906709196276687
"12","Mo-Mattia","Gardo-Ferdi",0.794001413569098
"13","Tommy-Piase","Gardo-Ferdi",0.632985481507945
"14","Vizza-Jack","Gardo-Ferdi",0.35525193765612
"15","Barbabro","Grego-Seba",0.367014518492055
"16","Gardo-Ferdi","Grego-Seba",0.367014518492055
"17","Grego-Seba","Grego-Seba",0.5
"18","Metti-Basea","Grego-Seba",0.849291397250702
"19","Mo-Mattia","Grego-Seba",0.69086574645884
"20","Tommy-Piase","Grego-Seba",0.5
"21","Vizza-Jack","Grego-Seba",0.242122402710478
"22","Barbabro","Metti-Basea",0.0932908037233134
"23","Gardo-Ferdi","Metti-Basea",0.0932908037233134
"24","Grego-Seba","Metti-Basea",0.150708602749298
"25","Metti-Basea","Metti-Basea",0.5
"26","Mo-Mattia","Metti-Basea",0.283963729434867
"27","Tommy-Piase","Metti-Basea",0.150708602749298
"28","Vizza-Jack","Metti-Basea",0.0536499162937447
"29","Barbabro","Mo-Mattia",0.205998586430902
"30","Gardo-Ferdi","Mo-Mattia",0.205998586430902
"31","Grego-Seba","Mo-Mattia",0.30913425354116
"32","Metti-Basea","Mo-Mattia",0.716036270565133
"33","Mo-Mattia","Mo-Mattia",0.5
"34","Tommy-Piase","Mo-Mattia",0.30913425354116
"35","Vizza-Jack","Mo-Mattia",0.125072401915082
"36","Barbabro","Tommy-Piase",0.367014518492055
"37","Gardo-Ferdi","Tommy-Piase",0.367014518492055
"38","Grego-Seba","Tommy-Piase",0.5
"39","Metti-Basea","Tommy-Piase",0.849291397250702
"40","Mo-Mattia","Tommy-Piase",0.69086574645884
"41","Tommy-Piase","Tommy-Piase",0.5
"42","Vizza-Jack","Tommy-Piase",0.242122402710478
"43","Barbabro","Vizza-Jack",0.64474806234388
"44","Gardo-Ferdi","Vizza-Jack",0.64474806234388
"45","Grego-Seba","Vizza-Jack",0.757877597289522
"46","Metti-Basea","Vizza-Jack",0.946350083706255
"47","Mo-Mattia","Vizza-Jack",0.874927598084918
"48","Tommy-Piase","Vizza-Jack",0.757877597289522
"49","Vizza-Jack","Vizza-Jack",0.5
