Quotazioni Immobiliari : Valori di Mercato - Semestre 2023/2 - elaborazione del 12-LUG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;20;Abitazioni civili;OTTIMO; ;4400;5800;L;12;18;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;20;Abitazioni civili;NORMALE;P;3500;4600;L;8,5;13;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;20;Abitazioni civili;SCADENTE; ;2200;3400;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;9;Magazzini;OTTIMO;P;1500;2800;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;9;Magazzini;NORMALE; ;1200;2000;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;5;Negozi;OTTIMO;P;6500;12000;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;5;Negozi;NORMALE; ;4000;6500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B15;VE00001324;6;Uffici;OTTIMO;P;4500;5800;L;14;20;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;20;Abitazioni civili;OTTIMO; ;4400;6000;L;11;17,5;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;20;Abitazioni civili;NORMALE;P;3800;5200;L;9;13;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;9;Magazzini;OTTIMO;P;1800;3000;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;5;Negozi;NORMALE; ;4000;6500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;5;Negozi;OTTIMO;P;6500;12500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B16;VE00001325;6;Uffici;OTTIMO;P;4200;6100;L;13;23;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;20;Abitazioni civili;OTTIMO; ;4200;5800;L;12;18;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;20;Abitazioni civili;NORMALE;P;3500;4500;L;8,5;14;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;9;Magazzini;OTTIMO;P;1500;3000;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;5;Negozi;NORMALE; ;4000;6500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;5;Negozi;OTTIMO;P;6500;12500;L;;;;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B17;VE00001326;6;Uffici;OTTIMO;P;4500;5800;L;12;22;L;
NORD-EST;VENETO;VE;5027042;D1AA; ;L736;VENEZIA;B;B19;VE00001329;20;Abitazioni civili;NORMALE;P;3100;4200;L;8,5;12,5;L;
