Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2023/2 - elaborazione del 12-LUG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;'ZONA ENTRO RIVIERE-VIA XX SETTEMBRE';B1;PD00000015;20;Abitazioni civili;N;1;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;'CARMINE,SAVONAROLA,RIVIERE EXT.,PORTA SAN GIOVANNI,CITTA GIARDINO,SANTA GIUSTINA,SANTO,SANTA SOFIA';B2;PD00000016;20;Abitazioni civili;N;1;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'PORTELLO';C1;PD00000018;20;Abitazioni civili;N;2;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'STAZIONE,SCROVEGNI,C.SO DEL POPOLO,FIERA, CITTADELLA';C2;PD00000019;6;Uffici;N;7;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'BORGOMAGNO, PRIMA ARCELLA, PESCAROTTO';C3;PD00000020;20;Abitazioni civili;N;3;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'ZONA DIREZIONALE PADOVAUNO';C4;PD00002090;6;Uffici;O;7;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'MADONNA PELLEGRINA, S.RITA, NAZARETH,SANT`OSVALDO';C5;PD00002350;20;Abitazioni civili;N;2;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;'PALESTRO, SACRA FAMIGLIA, SAN GIUSEPPE';C6;PD00002351;20;Abitazioni civili;N;2;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'CHIESANUOVA,BRUSEGANA';D1;PD00000023;20;Abitazioni civili;N;4;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'PALTANA, VOLTABRUSEGANA, MANDRIA';D2;PD00000024;20;Abitazioni civili;N;3;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'BASSANELLO, GUIZZA, VOLTABAROZZO';D3;PD00002091;20;Abitazioni civili;N;4;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'PONTE DI BRENTA, SAN LAZZARO';D4;PD00002092;20;Abitazioni civili;N;3;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'S. IGNAZIO, MONTA` , ALTICHIERO';D5;PD00002817;20;Abitazioni civili;N;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'TORRE, PONTEVIGODARZERE, SACRO CUORE';D6;PD00002819;20;Abitazioni civili;N;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'ARCELLA NORD, MORTISE';D7;PD00002830;20;Abitazioni civili;N;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;'S. GREGORIO, TERRANEGRA, FORCELLINI EST';D8;PD00002850;20;Abitazioni civili;N;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;'CAMIN';E1;PD00000027;20;Abitazioni civili;N;4;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;'ZONA INDUSTRIALE,ZIP';E2;PD00000028;8;Capannoni industriali;N;5;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;'SALBORO';E3;PD00002831;20;Abitazioni civili;N;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;'ZONA RURALE COMPRENDE QUARTIERE PONTEROTTO';R1;PD00001568;101;Seminativo; ;6;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;'ZONA RURALE';R2;PD00002871;101;Seminativo; ;0;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;'ZONA RURALE';R3;PD00002872;101;Seminativo; ;0;
