_id,Anno,Periodo,Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc
1,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,20,Abitazioni civili,NORMALE,P,3850,5450,L,"10,2","14,5",L
2,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,20,Abitazioni civili,SCADENTE, ,3300,4750,L,"8,7","12,7",L
3,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,20,Abitazioni civili,OTTIMO, ,5000,6750,L,"13,2",18,L
4,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,21,Abitazioni di tipo economico,OTTIMO, ,4800,6400,L,16,"21,2",L
5,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,21,Abitazioni di tipo economico,NORMALE,P,3600,5350,L,12,"17,7",L
6,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,21,Abitazioni di tipo economico,SCADENTE, ,3000,3800,L,10,"12,5",L
7,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,13,Box,"",P,2300,3450,L,"6,5","9,7",L
8,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,1,Ville e Villini,SCADENTE, ,3800,4550,L,"12,2","14,7",L
9,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,1,Ville e Villini,NORMALE,P,4550,5050,L,"14,7","16,2",L
10,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,1,Ville e Villini,OTTIMO, ,4850,6300,L,"15,7","20,2",L
11,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,9,Magazzini,NORMALE,P,800,1100,L,"4,7","6,5",L
12,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,5,Negozi,NORMALE,P,2900,4100,L,13,19,L
13,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,6,Uffici,OTTIMO,P,3550,4250,L,"16,2","19,5",L
14,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,18,Uffici strutturati,OTTIMO,P,3800,4800,L,"18,3",23,L
15,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B01,MI00000290,10,Laboratori,NORMALE,P,2000,2250,L,12,"13,5",L
16,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,20,Abitazioni civili,SCADENTE, ,2950,3950,L,"10,2",14,L
17,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,20,Abitazioni civili,OTTIMO, ,4500,6500,L,16,23,L
18,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,20,Abitazioni civili,NORMALE,P,3600,4850,L,"12,7",17,L
19,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,21,Abitazioni di tipo economico,OTTIMO, ,3350,4400,L,"12,5","16,5",L
20,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,21,Abitazioni di tipo economico,NORMALE,P,2700,3450,L,"10,2",13,L
21,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,21,Abitazioni di tipo economico,SCADENTE, ,2100,2750,L,"7,7","10,2",L
22,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,13,Box,"",P,2200,3250,L,"8,2","12,2",L
23,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,9,Magazzini,NORMALE,P,800,1100,L,"4,7","6,5",L
24,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,5,Negozi,NORMALE,P,2500,3700,L,"11,7","17,2",L
25,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,6,Uffici,OTTIMO,P,3200,3850,L,"13,2",16,L
26,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,18,Uffici strutturati,OTTIMO,P,3100,4400,L,"15,5",22,L
27,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B02,MI00000291,10,Laboratori,NORMALE,P,1400,1700,L,"8,3","10,3",L
28,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,20,Abitazioni civili,SCADENTE, ,3300,4200,L,"11,5","14,5",L
29,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,20,Abitazioni civili,OTTIMO, ,5100,7300,L,"17,7","25,5",L
30,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,20,Abitazioni civili,NORMALE,P,3950,5400,L,"13,7","18,7",L
31,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,21,Abitazioni di tipo economico,OTTIMO, ,4250,5500,L,16,"20,7",L
32,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,21,Abitazioni di tipo economico,NORMALE,P,3300,4250,L,"12,5",16,L
33,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,21,Abitazioni di tipo economico,SCADENTE, ,2600,3400,L,"9,7","12,7",L
34,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,13,Box,"",P,2500,3550,L,"8,7","12,5",L
35,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,9,Magazzini,NORMALE,P,1200,1450,L,7,"8,5",L
36,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,5,Negozi,NORMALE,P,3100,4500,L,14,"20,5",L
37,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,6,Uffici,OTTIMO,P,3350,4400,L,14,"18,5",L
38,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,18,Uffici strutturati,OTTIMO,P,3300,4800,L,"16,3","23,8",L
39,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B03,MI00000292,10,Laboratori,NORMALE,P,1650,1950,L,"9,8","11,8",L
40,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,20,Abitazioni civili,SCADENTE, ,4250,5100,L,"11,2","13,5",L
41,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,20,Abitazioni civili,OTTIMO, ,6100,7850,L,"16,2","20,7",L
42,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,20,Abitazioni civili,NORMALE,P,5100,6000,L,"13,5",16,L
43,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,21,Abitazioni di tipo economico,OTTIMO, ,5050,6450,L,"15,2","19,5",L
44,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,21,Abitazioni di tipo economico,NORMALE,P,4450,5550,L,"13,5","16,7",L
45,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,21,Abitazioni di tipo economico,SCADENTE, ,3500,4450,L,"10,5","13,5",L
46,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,13,Box,"",P,2750,4050,L,"9,2","13,5",L
47,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,9,Magazzini,NORMALE,P,850,1250,L,5,"7,5",L
48,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,5,Negozi,NORMALE,P,3500,5200,L,"16,2","24,2",L
49,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,6,Uffici,OTTIMO,P,3900,5300,L,"16,2","22,2",L
50,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,18,Uffici strutturati,OTTIMO,P,4550,5900,L,"21,7","28,5",L
51,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B04,MI00000293,10,Laboratori,NORMALE,P,1700,2100,L,"10,3","12,5",L
52,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,20,Abitazioni civili,SCADENTE, ,3300,4100,L,"11,5","14,2",L
53,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,20,Abitazioni civili,OTTIMO, ,4450,5900,L,"15,5","20,7",L
54,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,20,Abitazioni civili,NORMALE,P,3750,4450,L,13,"15,5",L
55,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,21,Abitazioni di tipo economico,OTTIMO, ,3600,4800,L,"13,2","17,7",L
56,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,21,Abitazioni di tipo economico,NORMALE,P,3150,4100,L,"11,5","15,2",L
57,2004,2 semestre,NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B05,MI00000294,21,Abitazioni di tipo economico,SCADENTE, ,2900,3750,L,"10,7","13,7",L
