_id,AnnoA,CorsoTIPO,ClasseNUMERO,ClasseNOME,SESSO,Isc
1,2022/2023,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,M,24444
2,2022/2023,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,F,19139
3,2022/2023,Laurea - dm 270/04,L-09,Ingegneria industriale,M,19095
4,2022/2023,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,F,18530
5,2022/2023,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,F,16262
6,2022/2023,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,14150
7,2022/2023,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,M,13829
8,2022/2023,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,M,12682
9,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,F,12099
10,2022/2023,Laurea - dm 270/04,L-20,Scienze della comunicazione,F,10831
11,2022/2023,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,M,9953
12,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,F,9471
13,2022/2023,Laurea - dm 270/04,L-11,Lingue e culture moderne,F,9016
14,2022/2023,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,F,8752
15,2022/2023,Laurea - dm 270/04,L-10,Lettere,F,8287
16,2022/2023,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,M,8168
17,2022/2023,Laurea - dm 270/04,L-33,Scienze economiche,M,8063
18,2022/2023,Laurea Magistrale - dm 270/04,LM-51,Psicologia,F,7992
19,2022/2023,Laurea - dm 270/04,L-13,Scienze biologiche,F,7530
20,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,F,6778
21,2022/2023,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,F,6638
22,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,M,6361
23,2022/2023,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,M,6301
24,2022/2023,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,F,6173
25,2022/2023,Laurea - dm 270/04,L-09,Ingegneria industriale,F,6002
26,2022/2023,Laurea - dm 270/04,L-12,Mediazione linguistica,F,5925
27,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,M,5876
28,2022/2023,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,M,5566
29,2022/2023,Laurea - dm 270/04,L-20,Scienze della comunicazione,M,5051
30,2022/2023,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,F,4989
31,2022/2023,Laurea - dm 270/04,L-33,Scienze economiche,F,4967
32,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,F,4901
33,2022/2023,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,F,4859
34,2022/2023,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,M,4722
35,2022/2023,Laurea - dm 270/04,L-02,Biotecnologie,F,4534
36,2022/2023,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,4405
37,2022/2023,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,F,4205
38,2022/2023,Laurea - dm 270/04,L-01,Beni culturali,F,4196
39,2022/2023,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,M,4023
40,2022/2023,Laurea - dm 270/04,L-39,Servizio sociale,F,3505
41,2022/2023,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",F,3469
42,2022/2023,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,M,3373
43,2022/2023,Laurea Magistrale - dm 270/04,LM-32,Ingegneria informatica,M,3346
44,2022/2023,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,F,3335
45,2022/2023,Laurea - dm 270/04,L-10,Lettere,M,3252
46,2022/2023,Laurea - dm 270/04,L-13,Scienze biologiche,M,3244
47,2022/2023,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,M,3240
48,2022/2023,Laurea Magistrale - dm 270/04,LM-39,Linguistica,F,3142
49,2022/2023,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,M,3109
50,2022/2023,Laurea Magistrale - dm 270/04,LM-14,Filologia moderna,F,3104
51,2022/2023,Laurea - dm 270/04,L-04,Disegno industriale,F,2983
52,2022/2023,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,F,2911
53,2022/2023,Laurea Magistrale - dm 270/04,LM-06,Biologia,F,2867
54,2022/2023,Laurea - dm 270/04,L-05,Filosofia,F,2754
55,2022/2023,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,F,2730
56,2022/2023,Laurea - dm 270/04,L-11,Lingue e culture moderne,M,2667
57,2022/2023,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,F,2638
58,2022/2023,Laurea - dm 270/04,L-05,Filosofia,M,2521
59,2022/2023,Laurea - dm 270/04,L-40,Sociologia,F,2518
60,2022/2023,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,M,2474
61,2022/2023,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,M,2436
62,2022/2023,Laurea - dm 270/04,L-42,Storia,M,2355
63,2022/2023,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,M,2134
64,2022/2023,Laurea - dm 270/04,L-25,Scienze e tecnologie agrarie e forestali,M,2116
65,2022/2023,Laurea Magistrale - dm 270/04,LM-61,Scienze della nutrizione umana,F,2090
66,2022/2023,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,M,2082
67,2022/2023,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,F,2045
68,2022/2023,Laurea Magistrale - dm 270/04,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",F,2017
69,2022/2023,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,F,1995
70,2022/2023,Laurea - dm 270/04,L-02,Biotecnologie,M,1950
71,2022/2023,Laurea Magistrale - dm 270/04,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",F,1930
72,2022/2023,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,F,1843
73,2022/2023,Laurea - dm 270/04,L-35,Scienze matematiche,M,1824
74,2022/2023,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,F,1816
75,2022/2023,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,M,1816
76,2022/2023,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",M,1793
77,2022/2023,Laurea - dm 270/04,L-17,Scienze dell'architettura,F,1780
78,2022/2023,Laurea - dm 270/04,L-15,Scienze del turismo,F,1774
79,2022/2023,Laurea Magistrale - dm 270/04,LM-51,Psicologia,M,1772
80,2022/2023,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,F,1750
81,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),F,1719
82,2022/2023,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,M,1715
83,2022/2023,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,M,1711
84,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,M,1709
85,2022/2023,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,F,1698
86,2022/2023,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,F,1564
87,2022/2023,Laurea - dm 270/04,L-01,Beni culturali,M,1563
88,2022/2023,Laurea - dm 270/04,L-35,Scienze matematiche,F,1558
89,2022/2023,Laurea - dm 270/04,L-04,Disegno industriale,M,1554
90,2022/2023,Laurea Magistrale - dm 270/04,LM-04,Architettura e ingegneria edile-architettura,F,1531
91,2022/2023,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,F,1521
92,2022/2023,Laurea - dm 270/04,L-12,Mediazione linguistica,M,1520
93,2022/2023,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,M,1501
94,2022/2023,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,F,1485
95,2022/2023,Laurea Magistrale - dm 270/04,LM-18,Informatica,M,1447
96,2022/2023,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,F,1422
97,2022/2023,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,F,1413
98,2022/2023,Laurea Magistrale - dm 270/04,LM-21,Ingegneria biomedica,F,1370
99,2022/2023,Laurea - dm 270/04,L-16,Scienze dell'amministrazione e dell'organizzazione,F,1333
100,2022/2023,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,F,1328
101,2022/2023,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,F,1317
102,2022/2023,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,M,1313
103,2022/2023,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,F,1281
104,2022/2023,Laurea - dm 270/04,L-42,Storia,F,1237
105,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,F,1222
106,2022/2023,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,M,1221
107,2022/2023,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,F,1183
108,2022/2023,Laurea - dm 270/04,L-41,Statistica,M,1156
109,2022/2023,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,M,1141
110,2022/2023,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,M,1139
111,2022/2023,Laurea - dm 270/04,L-17,Scienze dell'architettura,M,1134
112,2022/2023,Laurea Magistrale - dm 270/04,LM-06,Biologia,M,1127
113,2022/2023,Laurea Magistrale - dm 270/04,LM-17,Fisica,M,1120
