AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2023/2024;Aosta;701;F;682
2023/2024;Aosta;701;M;270
2023/2024;Bari;7201;F;24966
2023/2024;Bari;7201;M;14904
2023/2024;Bari Politecnico;7202;F;3068
2023/2024;Bari Politecnico;7202;M;6968
2023/2024;Basilicata;7601;F;3513
2023/2024;Basilicata;7601;M;2095
2023/2024;Benevento Giustino Fortunato - telematica;6202;F;1317
2023/2024;Benevento Giustino Fortunato - telematica;6202;M;866
2023/2024;Bergamo;1601;F;11444
2023/2024;Bergamo;1601;M;7472
2023/2024;Bologna;3701;F;47867
2023/2024;Bologna;3701;M;36367
2023/2024;Bolzano;2101;F;2297
2023/2024;Bolzano;2101;M;1140
2023/2024;Bra Scienze Gastronomiche;401;F;130
2023/2024;Bra Scienze Gastronomiche;401;M;146
2023/2024;Brescia;1701;F;7547
2023/2024;Brescia;1701;M;8187
2023/2024;Ca' Foscari Venezia;2701;F;12306
2023/2024;Ca' Foscari Venezia;2701;M;7192
2023/2024;Cagliari;9201;F;14698
2023/2024;Cagliari;9201;M;9828
2023/2024;Calabria;7801;F;13591
2023/2024;Calabria;7801;M;9786
2023/2024;Camerino;4302;F;2781
2023/2024;Camerino;4302;M;2893
2023/2024;Casamassima – LUM G. Degennaro;7203;F;996
2023/2024;Casamassima – LUM G. Degennaro;7203;M;1020
2023/2024;Cassino;6001;F;3880
2023/2024;Cassino;6001;M;3441
2023/2024;Castellanza LIUC;1201;F;863
2023/2024;Castellanza LIUC;1201;M;1664
2023/2024;Catania;8701;F;21668
2023/2024;Catania;8701;M;16076
2023/2024;Catanzaro;7901;F;7157
2023/2024;Catanzaro;7901;M;4349
2023/2024;Chieti e Pescara;6901;F;13765
2023/2024;Chieti e Pescara;6901;M;7343
2023/2024;Enna KORE;8601;F;3726
2023/2024;Enna KORE;8601;M;1652
2023/2024;Ferrara;3801;F;16083
2023/2024;Ferrara;3801;M;10490
2023/2024;Firenze;4801;F;32452
2023/2024;Firenze;4801;M;22659
2023/2024;Firenze IUL - telematica;4804;F;1230
2023/2024;Firenze IUL - telematica;4804;M;533
2023/2024;Foggia;7101;F;8710
2023/2024;Foggia;7101;M;4727
2023/2024;Genova;1001;F;17808
2023/2024;Genova;1001;M;13823
2023/2024;Insubria;1202;F;6156
2023/2024;Insubria;1202;M;5068
2023/2024;L'Aquila;6601;F;8711
2023/2024;L'Aquila;6601;M;7902
2023/2024;Macerata;4301;F;6586
2023/2024;Macerata;4301;M;2364
2023/2024;Marche;4201;F;7299
2023/2024;Marche;4201;M;8273
2023/2024;Messina;8301;F;15437
2023/2024;Messina;8301;M;9298
2023/2024;Milano;1501;F;33965
2023/2024;Milano;1501;M;23806
2023/2024;Milano Bicocca;1509;F;22276
2023/2024;Milano Bicocca;1509;M;14089
2023/2024;Milano Bocconi;1503;F;5846
2023/2024;Milano Bocconi;1503;M;7917
2023/2024;Milano Cattolica;1504;F;28126
2023/2024;Milano Cattolica;1504;M;14080
2023/2024;Milano IULM;1505;F;6131
2023/2024;Milano IULM;1505;M;1702
2023/2024;Milano Politecnico;1502;F;16959
2023/2024;Milano Politecnico;1502;M;30767
2023/2024;Milano San Raffaele;1508;F;3504
2023/2024;Milano San Raffaele;1508;M;1654
2023/2024;Modena e Reggio Emilia;3601;F;13680
2023/2024;Modena e Reggio Emilia;3601;M;11856
2023/2024;Molise;7001;F;4194
2023/2024;Molise;7001;M;2571
2023/2024;Napoli Benincasa;6304;F;7551
2023/2024;Napoli Benincasa;6304;M;1249
2023/2024;Napoli Federico II;6301;F;40101
2023/2024;Napoli Federico II;6301;M;31069
2023/2024;Napoli L'Orientale;6303;F;7453
2023/2024;Napoli L'Orientale;6303;M;1875
2023/2024;Napoli Parthenope;6302;F;5623
2023/2024;Napoli Parthenope;6302;M;7764
2023/2024;Napoli Pegaso - telematica;6307;F;51805
2023/2024;Napoli Pegaso - telematica;6307;M;47751
2023/2024;Napoli Vanvitelli;6306;F;13718
2023/2024;Napoli Vanvitelli;6306;M;9230
2023/2024;Novedrate e-Campus - telematica;1301;F;23546
