COD_Ateneo;NomeEsteso;NomeOperativo;status;Tipologia_ateneo_descrizione;Statale/NonStataleLibera;COMUNE;PROVINCIA;REGIONE;Zona Geografica;Classe dimensione;Nunero Iscritti
00101;Università degli studi di Torino;Torino;Attivo    ;Università;Statale   ;TORINO;TORINO;PIEMONTE;NORD-OVEST;60.000 e oltre;77820
00102;Politecnico di Torino;Torino Politecnico;Attivo    ;Politecnico;Statale   ;TORINO;TORINO;PIEMONTE;NORD-OVEST;da 30.000 a 59.999;33585
00103;Istituto Superiore di Educazione Fisica di Torino;Torino ISEF;Non attivo;ISEF;Non Statale;TORINO;TORINO;PIEMONTE;NORD-OVEST;;
00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte Orientale;Attivo    ;Università;Statale   ;VERCELLI;VERCELLI;PIEMONTE;NORD-OVEST;da 10.000 a 19.999;13939
00401;Università di Scienze Gastronomiche;Bra Scienze Gastronomiche;Attivo    ;Università;Non Statale;BRA;CUNEO;PIEMONTE;NORD-OVEST;inferiore a 10.000;352
00701;Università della Valle d'Aosta;Aosta;Attivo    ;Università;Non Statale;AOSTA;AOSTA;VALLE D'AOSTA;NORD-OVEST;inferiore a 10.000;984
01001;Università degli studi di Genova;Genova;Attivo    ;Università;Statale   ;GENOVA;GENOVA;LIGURIA;NORD-OVEST;da 30.000 a 59.999;31860
01201;"Università ""Carlo Cattaneo"" (LIUC)";Castellanza LIUC;Attivo    ;Università;Non Statale;CASTELLANZA;VARESE;LOMBARDIA;NORD-OVEST;inferiore a 10.000;2850
01202;Università degli studi dell' Insubria;Insubria;Attivo    ;Università;Statale   ;VARESE;VARESE;LOMBARDIA;NORD-OVEST;da 10.000 a 19.999;11776
01301;"Università telematica ""e-Campus"" di Novedrate (CO)";Novedrate e-Campus - telematica;Attivo    ;Università telematica;Non Statale;NOVEDRATE;COMO;LOMBARDIA;NORD-OVEST;da 30.000 a 59.999;36044
01501;Università degli studi di Milano;Milano;Attivo    ;Università;Statale   ;MILANO;MILANO;LOMBARDIA;NORD-OVEST;60.000 e oltre;60988
01502;Politecnico di Milano;Milano Politecnico;Attivo    ;Politecnico;Statale   ;MILANO;MILANO;LOMBARDIA;NORD-OVEST;da 30.000 a 59.999;46922
01503;Università commerciale Luigi Bocconi di Milano;Milano Bocconi;Attivo    ;Università;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;da 10.000 a 19.999;13743
01504;"Università Cattolica del ""Sacro Cuore""";Milano Cattolica;Attivo    ;Università;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;da 30.000 a 59.999;42183
01505;Libera Università di Lingue e Comunicazione (IULM);Milano IULM;Attivo    ;Università;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;inferiore a 10.000;7389
01506;Istituto Superiore di Educazione Fisica di Milano;Milano ISEF;Non attivo;ISEF;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01507;Istituto Superiore di Educazione Fisica della Lombardia;Milano ISEF Lombardia;Non attivo;ISEF;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;;
01508;Libera Università, Vita-Salute San Raffaele di Milano;Milano San Raffaele;Attivo    ;Università;Non Statale;MILANO;MILANO;LOMBARDIA;NORD-OVEST;inferiore a 10.000;3881
01509;Università degli studi di Milano-Bicocca;Milano Bicocca;Attivo    ;Università;Statale   ;MILANO;MILANO;LOMBARDIA;NORD-OVEST;da 30.000 a 59.999;35207
01510;Humanitas University;Rozzano (MI) Humanitas University;Attivo    ;Università;Non Statale;ROZZANO;MILANO;LOMBARDIA;NORD-OVEST;inferiore a 10.000;1446
01601;Università degli studi di Bergamo;Bergamo;Attivo    ;Università;Statale   ;BERGAMO;BERGAMO;LOMBARDIA;NORD-OVEST;da 10.000 a 19.999;19947
01701;Università degli studi di Brescia;Brescia;Attivo    ;Università;Statale   ;BRESCIA;BRESCIA;LOMBARDIA;NORD-OVEST;da 10.000 a 19.999;15013
01801;Università degli studi di Pavia;Pavia;Attivo    ;Università;Statale   ;PAVIA;PAVIA;LOMBARDIA;NORD-OVEST;da 20.000 a 29.999;24379
01802;Istituto universitario di studi superiori di Pavia;Pavia IUSS;Attivo    ;Scuola Superiore ad Ordinamento Speciale;Statale   ;PAVIA;PAVIA;LOMBARDIA;NORD-OVEST;;
02101;Libera Università di Bolzano;Bolzano;Attivo    ;Università;Non Statale;BOLZANO - BOZEN;BOLZANO;Provincia autonoma di Bolzano;NORD-EST;inferiore a 10.000;4046
