Ateneo,Zona Geografica,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
LUISS - Libera Università internazionale degli studi sociali Guido Carli di Roma,CENTRO,5049,5250,5178,5245,5482,5600,6093,6434,6816,7050,7716,7800,7753,7624,7706,8116,8671,9045,9289,9472,9717,10011,10081,11066
Libera Università Maria SS.Assunta - (LUMSA) di Roma,CENTRO,5052,5780,6586,6457,6922,7761,7742,7221,6911,6774,6733,6606,6343,6023,5907,5905,5627,5643,5736,6145,6773,7605,8429,8915
"Libera Università Mediterranea LUM ""Giuseppe Degennaro""",SUD,229,426,527,784,1148,1384,1196,1147,1044,1139,1346,1292,1307,1300,1247,1237,1367,1553,1502,1596,1571,1602,1757,2016
Libera Università di Bolzano,NORD-EST,751,1018,1278,1440,1731,1959,2045,2187,2361,2545,3189,2830,2759,2652,2758,3028,3293,3680,3757,3961,4066,3688,3526,3437
Libera Università di Lingue e Comunicazione (IULM),NORD-OVEST,8297,8967,8882,8084,7012,6271,5842,5289,4832,4409,4458,4386,4246,4198,4318,4664,5216,5732,6255,6788,7079,7398,7698,7833
"Libera Università, Vita-Salute San Raffaele di Milano",NORD-OVEST,696,873,1008,1168,1345,1688,1835,1898,1912,1959,1952,1970,1988,2001,2124,2323,2458,2600,2803,2962,3309,3884,4483,5158
Politecnico di Bari,SUD,10846,10944,10985,11326,11435,11401,11477,11305,12435,12619,12424,11817,11186,10706,10290,9797,9653,9756,9819,9870,9935,9835,9747,10036
Politecnico di Milano,NORD-OVEST,38347,38842,40154,39940,39568,38343,37721,36232,35434,35451,38259,38717,39079,39801,40075,40778,42435,43688,44664,45484,46447,47013,47725,47726
Politecnico di Torino,NORD-OVEST,21674,22549,23402,24069,23966,24193,24088,24554,24741,25787,26234,27823,28058,29141,29869,30756,31259,31913,32526,33041,33173,33272,33713,34809
"Università ""Carlo Cattaneo"" (LIUC)",NORD-OVEST,2424,2443,2320,2356,2017,2025,1959,1866,1853,1776,1831,1835,1761,1757,1815,1949,2038,2108,2283,2488,2760,2850,2706,2527
Università Ca' Foscari Venezia,NORD-EST,16257,17233,16828,16562,16679,16695,16831,17242,17330,17882,17965,18317,18691,19371,19160,19754,19812,20324,20755,21031,20795,20583,19847,19498
Università Campus Bio-Medico di Roma,CENTRO,484,542,626,734,818,841,844,887,1004,1096,1338,1461,1538,1567,1642,1680,1682,1780,1839,2019,2229,2448,2663,2931
"Università Cattolica del ""Sacro Cuore""",NORD-OVEST,38297,39304,37970,37900,38005,37913,38637,39378,39135,40585,39109,38022,37779,36790,36452,36509,37160,38502,39895,41266,41719,42184,42243,42206
Università Iuav di Venezia,NORD-EST,8915,8485,7883,7186,6833,6461,6173,6011,5985,5823,6034,5632,5183,4729,4518,4268,4147,4005,3972,3825,3971,4217,4429,4594
Università Politecnica delle Marche - Ancona,CENTRO,13326,13928,14450,14616,14929,15087,15615,15902,16342,16846,16616,16237,15880,15677,15742,15633,15318,15206,15003,14993,14976,14760,14932,15572
Università commerciale Luigi Bocconi di Milano,NORD-OVEST,10947,12541,12676,12231,11658,12515,12726,12635,12719,12758,13272,13325,13458,13541,13312,13237,13267,13431,13541,13579,13664,13730,13664,13763
Università degli Studi Internazionali di Roma – UNINT,CENTRO,606,771,889,1036,1059,3095,1790,1086,1185,1246,1355,1278,1208,1198,1297,1404,1352,1302,1537,1768,1913,1851,1632,1354
Università degli Studi del Sannio,SUD,5183,5211,6060,6943,6906,7261,7191,7058,6909,6716,7076,6735,6271,6196,5811,5492,5168,4840,4636,4301,4080,3840,3635,3546
Università degli Studi della Tuscia,CENTRO,7824,8091,9974,10193,10304,10543,11646,10325,9509,8901,8966,8009,7243,7435,7637,7850,8025,8108,7782,7923,7900,7674,7557,7666
Università degli Studi di Cassino e del Lazio Meridionale,CENTRO,12236,11769,12148,12132,13891,13245,12550,12143,11756,11639,10682,10165,9143,8637,8231,7848,7607,7245,7365,7071,7057,7239,7019,7321
"Università degli studi ""Carlo Bo"" di Urbino",CENTRO,22119,22311,22083,20704,19597,17131,16515,15978,15369,14970,15139,15051,14463,13970,13981,13871,13947,14152,14247,14527,14815,14708,14049,13521
Università degli studi Gabriele D'Annunzio di Chieti e Pescara,SUD,19006,21762,23617,26505,30385,35013,33599,31502,29890,31955,32401,31799,29954,28580,27357,25746,24938,24198,23662,22869,22607,21662,21102,21108
Università degli studi L'Orientale di Napoli,SUD,9834,10656,10353,9503,10379,10250,10170,10087,9628,10009,10528,10230,10367,10416,10394,10650,10936,11206,11581,11582,11391,11003,9753,9328
Università degli studi Mediterranea di Reggio Calabria,SUD,6281,8776,9296,9674,9903,9974,10309,10425,10255,9697,9832,9188,8407,7571,6808,6220,5812,5239,4934,4864,4855,4793,4949,4748
Università degli studi Roma Tre,CENTRO,28692,32270,35408,36796,36034,35099,35574,34900,34802,35304,38015,36820,35750,35404,34752,33880,32388,31931,31168,30825,31823,31708,31809,33602
Università degli studi Suor Orsola Benincasa di Napoli,SUD,11657,11551,12643,13208,12979,12322,11508,11166,10834,10474,10470,9792,9035,8471,8288,8265,8291,8356,8333,8467,8461,8692,8616,8800
Università degli studi del Molise,SUD,7740,8265,9068,9697,9769,9698,9584,9750,9548,9564,8074,7771,7486,7326,7030,6957,6937,6895,6810,6714,6652,6559,6481,6765
"Università degli studi del Piemonte orientale ""Amedeo Avogadro""",NORD-OVEST,7809,8180,8408,9589,9858,9369,9371,9373,9470,9333,9686,9770,10001,10098,10400,10771,11745,12132,12648,13130,13689,13934,13907,13989
Università degli studi dell' Insubria,NORD-OVEST,5895,6274,6955,7934,8057,8754,8839,9125,9172,9456,9377,9006,8632,8525,8866,8876,9331,10049,10694,11387,11726,11765,11404,11224
Università degli studi della Basilicata,SUD,5468,6416,7081,7667,7714,7745,7678,8202,8379,8749,8521,8380,7939,7452,7225,6933,6710,6582,6423,6281,6084,5873,5790,5608
"Università degli studi della Campania ""Luigi Vanvitelli""",SUD,23942,26732,27395,27966,28059,27668,27713,28564,29596,30220,29814,28979,28208,26678,26336,25927,25405,24752,23899,22782,22327,22128,22622,22948
Università degli studi di Bari,SUD,49623,49869,50168,57471,60561,61088,58352,58171,59574,59227,57522,54882,51919,50173,48667,46529,44354,43310,42843,42409,42267,40692,40056,39870
Università degli studi di Bergamo,NORD-OVEST,7733,8938,10583,11726,12579,13319,13803,13637,14045,14707,15035,14851,14532,14370,14856,15635,16800,18099,19453,21104,20878,19953,19285,18916
